docno	IDX_Par	IDX_SMI
0	9	0
1	10	1
2	10	0
3	10	2
4	10	3
5	14	4
6	16	5
7	18	5
8	20	6
9	20	7
10	21	6
11	22	5
12	22	7
13	24	8
14	26	9
15	32	10
16	34	5
17	36	11
18	36	12
19	38	13
20	38	11
21	39	14
22	40	15
23	40	16
24	41	9
25	41	5
26	42	17
27	45	18
28	47	19
29	47	20
30	48	5
31	48	15
32	50	21
33	50	9
34	50	22
35	50	21
36	51	23
37	52	24
38	52	25
39	56	25
40	61	15
41	61	15
42	63	24
43	63	5
44	66	5
45	66	15
46	67	26
47	67	27
48	68	28
49	68	26
50	69	29
51	69	29
52	72	5
53	73	30
54	73	30
55	74	31
56	74	31
57	75	32
58	75	32
59	76	33
60	76	34
61	77	33
62	78	33
63	78	30
64	79	33
65	79	33
66	80	33
67	85	35
68	87	36
69	87	37
70	88	36
71	89	38
72	89	39
73	89	40
74	89	38
75	98	41
76	103	42
77	107	42
78	112	43
79	135	44
80	159	45
81	160	45
82	160	46
83	162	47
84	162	47
85	163	48
86	163	48
87	164	49
88	164	48
89	165	49
90	168	49
91	168	50
92	173	51
93	176	52
94	178	53
95	179	54
96	180	55
97	180	56
98	181	57
99	181	58
100	182	53
101	182	53
102	183	53
103	183	54
104	184	54
105	184	54
106	184	53
107	184	54
108	185	53
109	185	54
110	187	59
111	188	58
112	188	56
113	189	53
114	190	53
115	190	57
116	191	56
117	193	53
118	194	53
119	194	60
120	195	53
121	196	61
122	196	59
123	197	53
124	197	57
125	200	62
126	205	63
127	205	64
128	206	65
129	207	66
130	207	64
131	207	65
132	207	64
133	208	67
134	208	64
135	209	65
136	209	66
137	210	65
138	210	65
139	212	68
140	213	66
141	214	69
142	215	69
143	215	64
144	216	65
145	216	70
146	217	69
147	217	62
